"","X","iso2c","year","country","GDPpc","Rural","CO2","HCexpend","Water","Sanitation","Unemploym","HCexpendpc","FemUnempl","FemSchool","LifeExpect","DPT","Measles","Population","Incidence","Incidence2","DDif","lGDPpc","lRural","lCO2","lHCexpend","lWater","lSanitation","lUnemploym","lHCexpendpc","lFemUnempl","lFemSchool","lLifeExpect","lDPT","lMeasles"
"928",928,"UG",2004,"Uganda",1004.83115286723,87.245,0.0666919700971506,7.88337543346259,62.5,31.2,2.5,24.092723875628,2.90000009536743,125.36119,51.8713658536585,62,66,27766986,0.72,0.67,0,6.91257479928112,4.46872025285019,-2.70767072165638,2.06475616665252,4.13516655674236,3.44041809481544,0.916290731874155,3.18190988103708,1.06471076987775,4.83119909066385,3.94876692026375,4.12713438504509,4.18965474202643
"929",929,"UG",2005,"Uganda",1032.83290661076,86.969,0.0795318161416158,9.17064177176501,64.1,31.5,2,28.7773790109419,2.29999995231628,119.31801,52.8399268292683,64,68,28724869,0.76,0.72,0,6.94006070057672,4.46555173331779,-2.53159813434254,2.21600726983528,4.16044436392662,3.44998754583159,0.693147180559945,3.35958962750468,0.832909102203052,4.78179228166637,3.96726709489291,4.15888308335967,4.21950770517611
"930",930,"UG",2006,"Uganda",1106.22892693012,86.687,0.0893565523021351,9.56133771321242,65.6,31.9,2,31.9959796128097,2.29999995231628,118.43297,53.7878536585366,64,75,29711397,0.8,0.76,0,7.00871214703799,4.46230393021415,-2.41512070708127,2.25772764543457,4.18357569595004,3.4626060097908,0.693147180559945,3.46561025780703,0.832909102203052,4.77434714652416,3.98504767324952,4.15888308335967,4.31748811353631
"931",931,"UG",2007,"Uganda",1159.58421316044,86.4,0.101792337969394,9.35690331103327,67.1,32.2,2.09999990463257,37.4316137669469,2.40000009536743,117.30969,54.7176341463415,73,75,30728747,0.86,0.8,0,7.05581678291588,4.45898767581001,-2.28482044322489,2.23611439291061,4.20618404397764,3.47196645255036,0.741937299316314,3.62251563525216,0.875468777090328,4.76481736094317,4.00218603674988,4.29045944114839,4.31748811353631
"932",932,"UG",2008,"Uganda",1218.91711580895,86.108,0.0994673838995615,8.80435526875512,68.7,32.5,2.90000009536743,39.4493971912141,3.40000009536743,119.96752,55.6243902439024,71,70,31778799,0.89,0.86,0,7.10571813357563,4.4556023223322,-2.30792548856016,2.17524651595717,4.2297491992283,3.48124008933569,1.06471076987775,3.67501876685103,1.22377545967136,4.78722103947855,4.01862177851895,4.26267987704132,4.24849524204936
"933",933,"UG",2009,"Uganda",1264.12037934425,85.811,0.102430392004364,9.34802045438148,70.2,32.9,4.19999980926514,42.1671931312588,4.80000019073486,120.92799,56.491756097561,79,77,32864328,0.89,0.89,1,7.14213180699505,4.45214720340455,-2.2785718134946,2.23516460477664,4.25134831103177,3.49347265777133,1.43508447987626,3.74164250474782,1.56861595765027,4.79519524447324,4.03409471772885,4.36944785246702,4.34380542185368
"934",934,"UG",2010,"Uganda",1294.00389624921,85.508,0.111346111256607,9.17481492505725,71.7,33.2,4.19999980926514,43.275521294796,4.80000019073486,118.28671,57.2965365853659,80,73,33987213,0.91,0.89,0,7.16549648606807,4.44860993881703,-2.19511180949339,2.2164622220813,4.27249074760558,3.50254987592244,1.43508447987626,3.76758714708553,1.56861595765027,4.77311142316891,4.04824017835754,4.38202663467388,4.29045944114839
"935",935,"UG",2011,"Uganda",1334.10487666067,85.2,-0.347775102793764,9.28023610097405,73.2,33.5,4.19999980926514,40.9074149299933,4.80000019073486,110.63118,58.0175365853659,82,75,35148064,0.94,0.91,0,7.19601584157173,4.44500143383527,-2.14901054173127,2.22788698838978,4.29319542096727,3.51154543883102,1.43508447987626,3.71131134074883,1.56861595765027,4.70620196617452,4.06074531976648,4.40671924726425,4.31748811353631
"936",936,"UG",2012,"Uganda",1334.13916983191,84.885,0.0159809789610474,7.97319031048532,74.8,33.9,4.19999980926514,43.6138490149031,4.90000009536743,122.084111361594,58.6479756097561,78,82,36345860,0.88,0.94,1,7.1960415462454,4.4412973992626,-2.10708033430442,2.07608470260528,4.31481788498043,3.5234150143864,1.43508447987626,3.77537473787523,1.58923522457932,4.8372014277412,4.07155305804608,4.35670882668959,4.40671924726425
"937",937,"VN",2000,"Vietnam",2649.71941574618,75.626,0.691020495704674,5.27851805251914,77.4,54.4,2.29999995231628,20.3423891931307,2.20000004768372,104.57998,73.6311219512195,96,97,77630900,0.07,0.0687845152993966,1.41047651161733,7.882209032524,4.32580013940408,-0.369585794721386,1.66364538645107,4.34898678059568,3.9963641538619,0.832909102203052,3.01270684651132,0.788457382038688,4.64995213751881,4.29906778895596,4.56434819146784,4.57471097850338
